file	run_type
ENCFF204GFI	single-ended
ENCFF152MXL	single-ended
ENCFF701GQV	paired-ended
ENCFF538CJS	paired-ended
ENCFF139KTJ	single-ended
ENCFF604YMS	single-ended
ENCFF308CYR	paired-ended
ENCFF448DRO	single-ended
ENCFF474YKG	single-ended
ENCFF143HYS	paired-ended
ENCFF253FMQ	paired-ended
ENCFF506IQQ	single-ended
ENCFF246DLQ	paired-ended
ENCFF523JBQ	paired-ended
ENCFF062FBQ	single-ended
ENCFF392OAH	single-ended
ENCFF609IPF	paired-ended
ENCFF216KVD	single-ended
ENCFF769RXI	paired-ended
ENCFF024BHN	paired-ended
ENCFF356WGA	paired-ended
ENCFF461QHE	paired-ended
ENCFF175LRM	single-ended
ENCFF335FAH	single-ended
ENCFF296UEM	single-ended
ENCFF268NZP	single-ended
ENCFF016SEB	single-ended
ENCFF486ECD	paired-ended
ENCFF518UKM	paired-ended
ENCFF906YYA	paired-ended
ENCFF443NXJ	single-ended
ENCFF048PFJ	single-ended
ENCFF037NDD	single-ended
ENCFF008YUA	single-ended
ENCFF878RGP	single-ended
ENCFF361OWP	single-ended
ENCFF199OSH	single-ended
ENCFF033IBX	paired-ended
ENCFF325RTP	paired-ended
ENCFF313EDO	single-ended
ENCFF721ZFV	single-ended
ENCFF467CXY	single-ended
ENCFF755VVY	single-ended
ENCFF674CWG	single-ended
ENCFF610LUN	single-ended
ENCFF166PCV	single-ended
ENCFF188RKP	single-ended
ENCFF117GRF	paired-ended
ENCFF498ZTB	paired-ended
ENCFF679LFL	single-ended
ENCFF137RKG	single-ended
ENCFF417OQG	paired-ended
ENCFF338YEG	single-ended
ENCFF477CQU	single-ended
ENCFF376XJI	paired-ended
ENCFF351UST	paired-ended
ENCFF585KAH	single-ended
ENCFF353UBK	single-ended
ENCFF882ETO	single-ended
ENCFF497DYX	paired-ended
ENCFF381CDO	paired-ended
ENCFF022OEC	single-ended
ENCFF425GUX	paired-ended
ENCFF026RIM	single-ended
ENCFF531YYI	paired-ended
ENCFF155UHI	single-ended
ENCFF351RLC	paired-ended
ENCFF025CEB	paired-ended
ENCFF219VNL	single-ended
ENCFF586FPS	single-ended
ENCFF969UXJ	single-ended
ENCFF199QGQ	single-ended
ENCFF244ILB	paired-ended
ENCFF018HHL	paired-ended
ENCFF104IKA	paired-ended
ENCFF843ZFJ	paired-ended
ENCFF558NDU	paired-ended
ENCFF708RJG	single-ended
ENCFF427KDL	paired-ended
ENCFF058UUA	paired-ended
ENCFF151RPQ	paired-ended
ENCFF502ZYO	single-ended
ENCFF481OYE	single-ended
ENCFF395YAT	paired-ended
ENCFF702HUL	single-ended
ENCFF836PAN	single-ended
ENCFF619BOF	single-ended
ENCFF513HSP	single-ended
ENCFF028KIR	single-ended
ENCFF944OLK	paired-ended
ENCFF857XLA	single-ended
ENCFF215SXQ	single-ended
ENCFF743IBP	single-ended
ENCFF341WBU	single-ended
ENCFF034LXG	single-ended
ENCFF613UDL	single-ended
