sample	DNase_seq	RNA_seq
neuronal_stem_cell_ENCDO000AAW_ENCFF204GFI	ENCFF204GFI	ENCFF780IHA
T-cell_ENCDO685OXD_ENCFF152MXL	ENCFF152MXL	ENCFF502AZI
mesenchymal_stem_cell_ENCDO000AAW_ENCFF701GQV	ENCFF701GQV	ENCFF159FLF
hepatocyte_ENCDO222AAA_ENCFF538CJS	ENCFF538CJS	ENCFF497TJL
myocyte_ENCDO000ACW_ENCFF139KTJ	ENCFF139KTJ	ENCFF314BVO
mesodermal_cell_ENCDO221AAA_ENCFF604YMS	ENCFF604YMS	ENCFF479HOA
endodermal_cell_ENCDO222AAA_ENCFF308CYR	ENCFF308CYR	ENCFF760DEP
B_cell_ENCDO579CCQ_ENCFF448DRO	ENCFF448DRO	ENCFF474IAB
keratinocyte_ENCDO268AAA_ENCFF474YKG	ENCFF474YKG	ENCFF223GBX
trophoblast_cell_ENCDO333OMW_ENCFF143HYS	ENCFF143HYS	ENCFF031EPL
skeletal_muscle_myoblast_ENCDO094AAA_ENCFF253FMQ	ENCFF253FMQ	ENCFF785NKG
natural_killer_cell_ENCDO028NGF_ENCFF506IQQ	ENCFF506IQQ	ENCFF834TAI
CD4-positive,_alpha-beta_T_cell_ENCDO134JGU_ENCFF246DLQ	ENCFF246DLQ	ENCFF361FER
CD8-positive,_alpha-beta_T_cell_ENCDO028NGF_ENCFF523JBQ	ENCFF523JBQ	ENCFF343HHX
cardiac_muscle_cell_ENCDO221AAA_ENCFF062FBQ	ENCFF062FBQ	ENCFF619LYC
naive_B_cell_ENCDO270AAA_ENCFF392OAH	ENCFF392OAH	ENCFF918UCH
CD4-positive,_CD25-positive,_alpha-beta_regulatory_T_cell_ENCDO290AAA_ENCFF609IPF	ENCFF609IPF	ENCFF204ZPB
naive_thymus-derived_CD4-positive,_alpha-beta_T_cell_ENCDO178AAA_ENCFF216KVD	ENCFF216KVD	ENCFF257XER
naive_thymus-derived_CD8-positive,_alpha-beta_T_cell_ENCDO830ROH_ENCFF769RXI	ENCFF769RXI	ENCFF207FEV
naive_thymus-derived_CD8-positive__alpha-beta_T_cell_ENCFF024BHN	ENCFF024BHN	ENCFF957MGN
CD8-positive,_alpha-beta_memory_T_cell_ENCDO166AGR_ENCFF356WGA	ENCFF356WGA	ENCFF694FXV
CD8-positive__alpha-beta_memory_T_cell_ENCFF461QHE	ENCFF461QHE	ENCFF421URR
CD14-positive_monocyte_ENCDO266AAA_ENCFF175LRM	ENCFF175LRM	ENCFF179PSX
common_myeloid_progenitor,_CD34-positive_ENCDO410ZKA_ENCFF335FAH	ENCFF335FAH	ENCFF199WJV
mammary_epithelial_cell_ENCDO343AAA_ENCFF296UEM	ENCFF296UEM	ENCFF061OMD
fibroblast_of_lung_ENCDO333AAA_ENCFF268NZP	ENCFF268NZP	ENCFF412KNK
endothelial_cell_of_umbilical_vein_ENCDO000AAS_ENCFF016SEB	ENCFF016SEB	ENCFF997PHW
fibroblast_of_skin_of_back_ENCDO597UXW_ENCFF486ECD	ENCFF486ECD	ENCFF621ZHU
foreskin_keratinocyte_ENCDO047TBB_ENCFF518UKM	ENCFF518UKM	ENCFF423MWU
fibroblast_of_skin_of_abdomen_ENCDO576LXR_ENCFF906YYA	ENCFF906YYA	ENCFF138AWC
Jurkat,_Clone_E6-1_ENCDO000AAY_ENCFF443NXJ	ENCFF443NXJ	ENCFF279WMO
A549_ENCDO000AAZ_ENCFF048PFJ	ENCFF048PFJ	ENCFF499XPZ
A549_ENCDO000AAZ_ENCFF037NDD	ENCFF037NDD	ENCFF981HOQ
A549_ENCDO000AAZ_ENCFF008YUA	ENCFF008YUA	ENCFF203NNS
HepG2_ENCDO000AAC_ENCFF878RGP	ENCFF878RGP	ENCFF336WOX
IMR-90_ENCDO000AAX_ENCFF361OWP	ENCFF361OWP	ENCFF942MTU
MCF-7_ENCDO000AAE_ENCFF199OSH	ENCFF199OSH	ENCFF579SSX
HT1080_ENCDO033CRF_ENCFF033IBX	ENCFF033IBX	ENCFF754UAP
K562_ENCDO000AAD_ENCFF325RTP	ENCFF325RTP	ENCFF939LDL
Panc1_ENCDO000ABB_ENCFF313EDO	ENCFF313EDO	ENCFF911UFE
BJ_ENCDO000AAG_ENCFF721ZFV	ENCFF721ZFV	ENCFF477JDG
GM12878_ENCDO000AAK_ENCFF467CXY	ENCFF467CXY	ENCFF935TRK
GM12891_ENCDO000ACA_ENCFF755VVY	ENCFF755VVY	ENCFF758DWT
GM12892_ENCDO000AAL_ENCFF674CWG	ENCFF674CWG	ENCFF135GZP
HeLa-S3_ENCDO000AAB_ENCFF610LUN	ENCFF610LUN	ENCFF300TMZ
HCT116_ENCDO000ABE_ENCFF166PCV	ENCFF166PCV	ENCFF092ZUO
H1_ENCDO000AAW_ENCFF188RKP	ENCFF188RKP	ENCFF582HOU
NCI-H460_ENCDO267PTG_ENCFF117GRF	ENCFF117GRF	ENCFF543BHV
LHCN-M2_ENCDO000ACW_ENCFF498ZTB	ENCFF498ZTB	ENCFF369ZZI
SK-MEL-5_ENCDO338AAA_ENCFF679LFL	ENCFF679LFL	ENCFF702SUE
SK-N-DZ_ENCDO340AAA_ENCFF137RKG	ENCFF137RKG	ENCFF916MTO
GM23248_ENCDO336AAA_ENCFF417OQG	ENCFF417OQG	ENCFF091LWO
BE2C_ENCDO000ACQ_ENCFF338YEG	ENCFF338YEG	ENCFF585MBQ
AG04450_ENCDO001AAA_ENCFF477CQU	ENCFF477CQU	ENCFF569EUR
GM23338_ENCDO336AAA_ENCFF376XJI	ENCFF376XJI	ENCFF204QFN
fibroblast_of_skin_of_scalp_ENCDO576LXR_ENCFF351UST	ENCFF351UST	ENCFF385POO
mesendoderm_ENCDO000AAW_ENCFF585KAH	ENCFF585KAH	ENCFF700YLR
large_intestine_ENCDO087TLK_ENCFF353UBK	ENCFF353UBK	ENCFF246EVH
testis_ENCDO836UAR_ENCFF882ETO	ENCFF882ETO	ENCFF416QUL
stomach_ENCDO652XOU_ENCFF497DYX	ENCFF497DYX	ENCFF700TIR
aorta_ENCDO575WHY_ENCFF381CDO	ENCFF381CDO	ENCFF939QXU
heart_ENCDO006AAA_ENCFF022OEC	ENCFF022OEC	ENCFF646WRS
brain_ENCDO708OLI_ENCFF425GUX	ENCFF425GUX	ENCFF272FZL
ovary_ENCDO927DEI_ENCFF026RIM	ENCFF026RIM	ENCFF306DIV
sigmoid_colon_ENCDO793LXB_ENCFF531YYI	ENCFF531YYI	ENCFF700ZXN
renal_pelvis_ENCDO576LXR_ENCFF155UHI	ENCFF155UHI	ENCFF057IOJ
urinary_bladder_ENCDO647EYG_ENCFF351RLC	ENCFF351RLC	ENCFF403EQO
pancreas_ENCFF025CEB	ENCFF025CEB	ENCFF696QDX
pancreas_ENCDO424HVB_ENCFF219VNL	ENCFF219VNL	ENCFF091ALA
muscle_of_leg_ENCDO676JUB_ENCFF586FPS	ENCFF586FPS	ENCFF715VKW
muscle_of_arm_ENCDO597UXW_ENCFF969UXJ	ENCFF969UXJ	ENCFF314AMC
muscle_of_trunk_ENCDO920LST_ENCFF199QGQ	ENCFF199QGQ	ENCFF476CTL
placenta_ENCDO060OTP_ENCFF244ILB	ENCFF244ILB	ENCFF150SPZ
lung_ENCDO647EYG_ENCFF018HHL	ENCFF018HHL	ENCFF906UNV
right_cardiac_atrium_ENCDO520EJG_ENCFF104IKA	ENCFF104IKA	ENCFF935LMI
heart_right_ventricle_ENCDO411EVD_ENCFF843ZFJ	ENCFF843ZFJ	ENCFF748VWG
heart_left_ventricle_ENCDO039RUH_ENCFF558NDU	ENCFF558NDU	ENCFF346ANG
spleen_ENCDO307OVZ_ENCFF708RJG	ENCFF708RJG	ENCFF977XRF
liver_ENCDO987XTQ_ENCFF427KDL	ENCFF427KDL	ENCFF825RZF
small_intestine_ENCDO058AAA_ENCFF058UUA	ENCFF058UUA	ENCFF475LJJ
kidney_ENCDO065EIP_ENCFF151RPQ	ENCFF151RPQ	ENCFF598STD
right_lung_ENCDO453STB_ENCFF502ZYO	ENCFF502ZYO	ENCFF619JER
left_lung_ENCDO375VTO_ENCFF481OYE	ENCFF481OYE	ENCFF954WNL
spinal_cord_ENCDO300THQ_ENCFF395YAT	ENCFF395YAT	ENCFF477LRS
muscle_of_back_ENCDO837QWL_ENCFF702HUL	ENCFF702HUL	ENCFF601DQN
adrenal_gland_ENCDO132ASK_ENCFF836PAN	ENCFF836PAN	ENCFF295BLS
thymus_ENCDO859GXV_ENCFF619BOF	ENCFF619BOF	ENCFF682ZFE
forelimb_muscle_ENCDO012PVK_ENCFF513HSP	ENCFF513HSP	ENCFF848IBR
hindlimb_muscle_ENCDO249ZDZ_ENCFF028KIR	ENCFF028KIR	ENCFF087NOX
left_kidney_ENCDO245RIZ_ENCFF944OLK	ENCFF944OLK	ENCFF120GFG
renal_cortex_interstitium_ENCDO380HQH_ENCFF857XLA	ENCFF857XLA	ENCFF258MDF
psoas_muscle_ENCDO006AAA_ENCFF215SXQ	ENCFF215SXQ	ENCFF533HNU
left_renal_pelvis_ENCDO327QNA_ENCFF743IBP	ENCFF743IBP	ENCFF374ZVY
right_renal_pelvis_ENCDO513BVP_ENCFF341WBU	ENCFF341WBU	ENCFF292WME
left_renal_cortex_interstitium_ENCDO513BVP_ENCFF034LXG	ENCFF034LXG	ENCFF194WOT
right_renal_cortex_interstitium_ENCDO378UAU_ENCFF613UDL	ENCFF613UDL	ENCFF749JMN
